# Supplementary table 3. Epigenetic clock results for the samples in WBC-Neu dataset.,,,,,,,,,,,,,,,,,
id,Hannum 2013,Horvath pan-tissue 2013,Weidner 2014,Lin 2016,Vidal-Bralo 2016,Horvath SkinAndBlood 2018,Zhang 2019,Yang epiTOC 2016,Youn MiAge 2018,Lu DNAmTL 2019,Teschendorff epiTOC2 2020,Zhang mortality-risk 2017,Levine PhenoAge 2018,Lu GrimAge 2019,Lu GrimAge2 2022,Belsky DunedinPACE 2022,McGreevy FitAge 2023
WBCminusNeu52yo_CT13,58.65677905,58.50308364,48.17298805,60.91225525,48.44915281,51.25967728,63.43278555,0.116731576,1597.148575,6.818563061,5078.408676,-3.022025658,45.80922368,49.06342612,53.04709498,0.9151563427,51.96647639
WBCminusNeu52yo_CT13_R1,59.64457967,56.8913723,53.11683982,62.60230681,51.53376662,50.81040802,63.97998776,0.1148521025,1485.766666,6.839643387,4783.541373,-2.939098969,44.5799603,48.96651162,52.80697143,0.8639001881,52.79082825
WBCminusNeu52yo_CT16,55.97852598,60.07476287,39.44979831,57.81315028,51.37970523,49.86202792,62.90740694,0.1008665673,1405.376916,6.85211756,3991.457787,-3.09766565,40.21130341,46.27697995,49.85251859,0.9130569323,49.73500688
WBCminusNeu52yo_CT16_R1,56.01846634,56.68458923,44.91853362,55.60907766,48.55380559,50.42506876,62.78977101,0.0963063855,1297.364446,6.922104671,3721.659529,-3.205280612,42.15874905,46.13490068,50.62012741,0.8757981337,48.70095161
WBCminusNeu52yo_CT19,60.46799819,56.581708,43.85438838,60.0769068,52.40055379,52.57065633,63.36355913,0.104960177,1419.265126,6.841376189,4300.173131,-3.062563133,45.13518312,49.93777151,53.99054749,0.8985551649,52.77224028
WBCminusNeu52yo_CT19_R1,58.48844203,54.36842769,39.76092697,56.49372214,50.21303126,52.31536694,63.77751879,0.101387361,1309.321809,6.802335562,4080.88933,-2.887532237,45.82130125,48.8914709,52.3895166,0.8941687043,50.68983084
WBCminusNeu52yo_CT22,55.50862958,57.05711983,44.9689649,50.80991391,51.86729851,50.20603672,63.08856834,0.09741672629,1384.383943,6.89012259,3835.615376,-3.070141576,41.08984181,47.58383472,51.80585583,0.9525508952,50.71114483
WBCminusNeu52yo_CT22_R1,57.92416581,54.82879251,43.72117009,56.9675061,50.95249676,49.81164824,63.6588199,0.1039352934,1362.447372,6.825030199,4124.175114,-3.154982238,45.21885146,46.31311514,49.96720501,0.8863117844,50.31529801
WBCminusNeu52yo_CT25,56.82272717,51.33335802,36.60486512,53.14233007,49.68539559,50.02138335,62.92891837,0.08555825105,1261.814596,7.106755274,3107.043495,-2.962013412,41.04936776,46.3344214,51.37426736,0.9383215008,47.62755955
WBCminusNeu52yo_CT25_R1,54.47317966,54.51933275,41.23193642,57.84479283,51.4656552,50.5311286,63.59142461,0.08898489441,1164.222954,6.984258402,3205.468432,-3.287154754,43.83966017,48.51505739,53.06149294,0.8733261648,49.58416155
WBCminusNeu52yo_CT28,58.89286644,56.38195157,36.9809425,56.51868559,51.24316367,49.51778566,63.16026361,0.09419142388,1325.385255,6.954298167,3715.079166,-3.051105009,46.6423495,46.00702422,50.47139359,0.9089785861,49.23314116
WBCminusNeu52yo_CT28_R1,55.54483581,55.5790256,42.51799437,50.43804438,52.75250242,49.11738079,63.54473829,0.09475336871,1239.7086,6.946048065,3639.054881,-2.975762798,43.81071327,46.93108472,50.90523788,0.8571741403,50.0112723
WBCminusNeu52yo_CT31,56.97070911,58.15468368,40.01589583,57.43297928,51.03047558,50.10901894,62.74619236,0.09255573456,1264.053471,6.984068308,3573.505013,-2.945492577,44.98086695,46.53248537,50.93820076,0.8986072544,48.94317795
WBCminusNeu52yo_CT31_R1,58.89045495,55.76776716,46.11064989,58.59949383,51.75200182,51.62990108,63.59693973,0.09500911862,1194.938074,6.9527023,3675.334146,-3.07727731,43.66026435,47.74534577,51.80762447,0.9178827975,49.94847692
WBCminusNeu52yo_CT34,61.90978052,58.66681158,40.78732275,62.27025393,51.73618731,52.23706649,63.55581866,0.1141501454,1618.074256,6.852475111,4831.679292,-2.770104991,45.75921936,49.30413985,53.02482309,0.9615056385,50.82623762
WBCminusNeu52yo_CT34_R1,58.69198096,58.93316779,51.95095234,62.97250695,52.26197672,52.3167585,63.52214663,0.1230900048,1630.621211,6.738933093,5319.1553,-2.907851323,44.10917458,49.93147536,54.04620234,0.9009031005,52.75859117
WBCminusNeu52yo_CT37,59.50286172,61.91693076,49.44353766,60.4882599,53.01312728,49.69666555,63.89643959,0.1150470198,1544.411832,6.8223071,4906.712125,-2.813717521,49.97271556,48.36136758,52.52632614,0.9759921635,52.47124941
WBCminusNeu52yo_CT37_R1,62.91161355,61.17151575,51.48058074,63.06723706,53.21941532,51.56796994,63.82880889,0.1187765476,1533.670023,6.759397281,5092.762871,-2.589553311,47.91611009,49.87158146,53.40278807,0.871221175,53.5027175
WBCminusNeu52yo_CT40,60.36097012,58.08368682,47.39790207,59.03373746,53.49031526,51.89237015,64.09389086,0.1171272363,1573.060136,6.806124912,4991.265661,-2.776418558,42.20387575,50.28076634,54.39007166,0.9209833109,54.42608294
WBCminusNeu52yo_CT40_R1,56.97455644,59.14933977,51.63335032,54.6511431,52.88387519,52.23649521,64.15428388,0.1135543576,1470.799621,6.632823241,4770.116323,-2.572987797,45.05153678,50.08855567,54.56613923,0.9058092523,53.15857623
WBCminusNeu52yo_CT43,54.63623849,55.04302431,38.2587548,57.47876851,52.47747592,51.13384021,63.5201123,0.08946766442,1274.566648,6.975905002,3296.612315,-3.113198553,45.01829293,48.07063508,52.06708684,0.9382744856,49.90340295
WBCminusNeu52yo_CT43_R1,56.83465359,57.79046269,38.74982277,56.30475649,52.65364742,49.49645903,63.14752087,0.08346479415,1126.805693,6.904080755,2997.849738,-2.977015402,45.0673487,45.40498075,50.56670264,0.9534812416,46.41290256
WBCminusNeu52yo_CT46,58.3268686,57.75836969,42.55769467,54.62464218,49.83918743,50.30122994,63.3990653,0.1047204497,1469.120947,6.782040755,4249.76896,-3.21002584,43.87757162,46.95274667,51.15128185,0.8907719303,51.99593094
WBCminusNeu52yo_CT46_R1,59.41017435,55.60559925,47.56731608,57.06708228,52.78299577,50.1197843,63.65248424,0.09581023727,1327.747488,6.818956098,3741.581071,-2.851878378,47.3540978,46.78661739,51.02036309,0.9315326436,49.86949032
WBCminusNeu52yo_CT49,49.66650136,54.06584788,41.96190205,52.16477625,50.79999747,48.19469705,62.86536434,0.09255249939,1275.185959,7.003580674,3472.047478,-3.288304462,40.56415469,45.90527636,50.08355346,0.9277691213,48.3355386
WBCminusNeu52yo_CT49_R1,56.83673201,55.0956358,41.7256711,50.65265403,51.02599387,49.44126198,63.25738535,0.08741485152,1185.790796,7.038721614,3276.8256,-3.098765495,41.4796978,46.30564362,50.84503437,0.877029954,47.79562312
WBCminusNeu52yo_CT55,55.70539733,56.57089242,39.23236968,57.77809132,50.63848284,49.67088229,63.54116075,0.09591325529,1385.688741,6.880248584,3707.627278,-3.057151307,41.49488964,46.07103658,50.45185624,0.9182105714,48.58962986
WBCminusNeu52yo_CT55_R1,55.93471498,60.25846529,42.48675369,54.62689564,53.49014159,50.29026192,63.44720923,0.09257978619,1256.66673,6.908651271,3494.22069,-2.881740769,42.90932585,47.82608799,52.06376378,0.9193707541,51.05677487
WBCminusNeu52yo_CT58,59.95146187,53.84589442,45.98833658,60.16862032,50.75337241,52.32857025,63.82317475,0.1182316566,1606.634008,6.702928919,5043.603189,-2.852473432,46.25771924,49.86761562,54.14079184,0.8933073064,52.95147018
WBCminusNeu52yo_CT58_R1,60.07706966,59.69364714,49.22059757,61.77896213,49.78183395,53.14569566,63.40885964,0.1144370862,1442.721764,6.801711051,4858.372392,-2.688110006,43.31124751,49.56121711,53.44587037,0.8664247772,53.16297858
WBCminusNeu52yo_CT61,59.7346521,57.00556948,46.23255046,58.40298116,53.27181744,51.45115521,63.38040746,0.09750191648,1303.730934,6.807058029,3710.03517,-2.579175762,51.37715324,49.58422033,54.46125633,0.9388286847,51.54945487
WBCminusNeu52yo_CT61_R1,60.04567952,56.461984,44.47617193,53.74033746,53.20744204,55.18317736,63.45045726,0.08909754465,1205.08682,6.864964075,3377.544097,-2.539217119,47.58865599,51.21730592,55.83915652,0.9354139046,51.72080921
WBCminusNeu52yo_CT64,59.1040152,56.99178909,47.37836021,58.01150105,51.37685828,51.96304988,63.7941694,0.109838587,1577.831358,6.685940531,4602.170356,-2.993379104,46.7641484,48.13729246,51.23867946,0.9270884141,50.96319659
WBCminusNeu52yo_CT64_R1,59.49868714,56.2088778,42.23246851,54.75508153,50.71282737,50.45382295,63.22046839,0.1149288506,1562.166773,6.775358111,4829.697657,-2.896189847,45.48470856,47.61041055,51.79706735,0.9108010975,51.99302816
WBCminusNeu52yo_CT67,57.5429601,56.6515852,47.51717637,52.68741732,53.29345071,51.99575992,63.48941184,0.1030748121,1433.711381,6.745385514,4131.334246,-2.813177727,45.57612754,49.84592029,54.4179473,0.9327866519,51.48056317
WBCminusNeu52yo_CT67_R1,58.86189151,55.01576837,57.34573782,60.66022983,53.7505878,51.60092995,63.44549691,0.111358001,1496.117067,6.802809889,4582.66781,-2.89791552,44.99776847,48.17398243,52.42467229,0.9326093156,52.82707183
WBCminusNeu52yo_CT70,57.25900401,52.64159607,39.2469174,56.79188172,50.59304551,50.05080636,63.53424785,0.1049810588,1421.458017,6.890808736,4205.314687,-3.125684163,42.88256668,46.65174901,50.3640963,0.8519363724,50.88488045
WBCminusNeu52yo_CT70_R1,59.59055868,57.34523697,45.47009812,54.79393882,51.64904378,50.91021556,63.46471482,0.09912741737,1360.135105,6.910073312,3831.619392,-3.055135193,45.86001441,47.17126976,51.04147788,0.9178496269,49.62285491
WBCminusNeu52yo_CT73,54.47609847,56.27438195,45.15714536,56.23714685,50.64899909,51.0015512,63.24878258,0.09475064517,1351.587604,6.958616192,3583.012606,-3.132768828,45.10305808,48.6236018,53.19825982,0.9384435322,50.25024261
WBCminusNeu52yo_CT73_R1,55.63876536,57.05308056,38.53886656,55.21604286,51.11273894,52.93705424,63.44350897,0.08997196846,1231.361254,6.879638347,3372.738625,-3.112075043,44.18781914,47.3911568,50.95828271,0.9071150383,49.28636153
WBCminusNeu52yo_CT76,54.89495225,60.28887753,46.45607022,54.3645751,51.10201085,49.31323073,63.06947453,0.09694292554,1341.869227,6.886296909,3795.082433,-3.113026051,44.17356958,47.43875042,51.41663503,0.9079459675,49.96885405
WBCminusNeu52yo_CT76_R1,56.02891756,55.01210305,48.17351929,57.25887609,52.13452782,51.3006586,63.07704061,0.1047960028,1413.23132,6.978433947,4239.430649,-3.382563064,43.37105154,47.52242386,51.70837559,0.9223767123,50.61442285
WBCminusNeu52yo_CT79,59.12394289,57.21339176,45.22218686,61.67660583,50.52498823,51.02483691,63.50237903,0.1041290207,1429.040068,6.813709129,4209.996246,-3.034633346,39.67016418,47.38771886,51.62769734,0.9369583451,51.1258299
WBCminusNeu52yo_CT79_R1,58.93908085,58.38811286,48.11404749,61.4084605,52.14061268,51.32695725,63.58184628,0.1068506998,1483.689043,6.805884348,4362.746559,-3.111808798,43.08442175,48.18000698,52.50201801,0.8839930542,52.06187333
WBCminusNeu52yo_CT85,58.73385539,56.71361225,46.75283785,55.77271484,48.43467506,52.02429802,63.44138523,0.1153909307,1566.799673,6.762465271,4834.260036,-2.768235261,44.31154972,48.83821919,52.46236014,0.9162050402,51.9293369
WBCminusNeu52yo_CT85_R1,60.46037278,58.23014085,43.03532142,58.74792607,51.95133213,50.86265149,63.69035137,0.1079559289,1478.624743,6.844911921,4476.758169,-2.759414441,43.59047527,47.30939688,51.41695104,0.9325715164,51.6273217