# Supplementary table 4. PC-based epigenetic clock results for the samples in WBC-Neu dataset.,,,,,,
id,PC.Horvath.pan.tissue,PC.Horvath.SkinAndBlood,PC.Hannum,PC.PhenoAge,PC.DNAmTL,PC.GrimAge
WBCminusNeu52yo_CT13,54.53038723,57.268098,58.55106444,45.91554851,6.788654189,60.31583376
WBCminusNeu52yo_CT13_R1,55.12494314,57.27053793,58.07079204,46.31562311,6.798345523,60.77731129
WBCminusNeu52yo_CT16,51.66094911,53.80123471,55.96493104,43.96492507,6.900803788,60.13162815
WBCminusNeu52yo_CT16_R1,52.39682238,53.85357848,55.64291577,44.42479494,6.915416962,60.28158837
WBCminusNeu52yo_CT19,53.0757939,55.24136741,58.30262446,46.51939905,6.848813859,60.44041155
WBCminusNeu52yo_CT19_R1,53.55570113,54.89481032,57.12866903,46.26825588,6.875084672,60.33486519
WBCminusNeu52yo_CT22,51.78612902,54.25926342,56.09780259,45.06913125,6.906372849,60.31876396
WBCminusNeu52yo_CT22_R1,53.12370343,54.78760538,57.53197577,45.04517509,6.888018507,60.65945211
WBCminusNeu52yo_CT25,51.04780684,52.61749034,55.50173345,45.27469238,6.989584005,60.6813148
WBCminusNeu52yo_CT25_R1,52.02519563,52.72367789,56.3665944,45.28161802,7.000626749,61.18195678
WBCminusNeu52yo_CT28,51.80563338,53.42880649,55.84301,45.11913492,6.941867519,60.1782807
WBCminusNeu52yo_CT28_R1,53.4583606,53.81820855,56.40460476,44.56164581,6.943874854,60.56562134
WBCminusNeu52yo_CT31,53.33928371,54.86317537,57.43548322,46.32285106,6.921890247,60.65442407
WBCminusNeu52yo_CT31_R1,53.6642257,54.68378396,57.72408759,46.16954427,6.93927453,61.31056198
WBCminusNeu52yo_CT34,54.16621108,57.60632069,60.29518765,48.47232916,6.766410119,60.1074054
WBCminusNeu52yo_CT34_R1,55.2911622,58.40599546,61.27774031,47.97719223,6.764642613,60.58053635
WBCminusNeu52yo_CT37,55.40959533,58.10435171,60.68545843,48.32942763,6.762574819,60.47633102
WBCminusNeu52yo_CT37_R1,56.40580255,59.02018275,62.18036233,49.1274167,6.762113267,60.92451713
WBCminusNeu52yo_CT40,54.81630668,57.00583961,59.42940735,47.97298598,6.770006178,60.03535082
WBCminusNeu52yo_CT40_R1,56.49533136,58.79860917,60.2254256,47.39197347,6.767247674,60.81255904
WBCminusNeu52yo_CT43,51.2840641,53.17882379,55.34515681,44.91138514,6.975394225,60.4444682
WBCminusNeu52yo_CT43_R1,53.79429321,54.09809973,55.07159531,44.59453254,6.972922557,59.95729912
WBCminusNeu52yo_CT46,52.59062641,53.77493233,56.66811703,45.21437022,6.86910431,59.95436264
WBCminusNeu52yo_CT46_R1,55.72245007,57.27121562,57.04281255,45.22052822,6.888155614,59.6903094
WBCminusNeu52yo_CT49,51.14055072,53.00121177,54.7951404,44.04502787,6.976439607,60.03023188
WBCminusNeu52yo_CT49_R1,54.35204028,54.85238962,54.90205664,44.09691354,6.985838373,60.05140471
WBCminusNeu52yo_CT55,52.11967746,54.44771331,56.59716455,45.6432334,6.907613248,60.1153353
WBCminusNeu52yo_CT55_R1,55.06569543,56.77394542,57.62449143,45.8280306,6.92360564,60.70207368
WBCminusNeu52yo_CT58,54.9733772,58.27617375,60.46942012,48.12225873,6.751341264,60.51838915
WBCminusNeu52yo_CT58_R1,56.52383774,58.99551211,59.83435722,47.81340407,6.775097026,60.60194011
WBCminusNeu52yo_CT61,54.11536763,56.54283653,59.63324327,48.92586184,6.844690054,61.6120393
WBCminusNeu52yo_CT61_R1,54.56659329,57.03421976,59.00270528,48.65723602,6.86804635,61.35837316
WBCminusNeu52yo_CT64,52.62068753,55.48003442,57.2293859,46.29173651,6.803714607,60.30834661
WBCminusNeu52yo_CT64_R1,54.20212201,56.32825879,58.50322047,45.493175,6.770995773,60.74976581
WBCminusNeu52yo_CT67,53.30233569,56.15307833,58.16037893,46.27745906,6.83967373,61.05377418
WBCminusNeu52yo_CT67_R1,54.4243042,57.16115406,59.88367962,47.39113634,6.808756929,61.07517796
WBCminusNeu52yo_CT70,51.30187362,52.26938664,55.80736426,45.03339602,6.902992502,60.58305909
WBCminusNeu52yo_CT70_R1,52.90500013,53.72945894,55.55820394,44.13331571,6.90266598,60.22529204
WBCminusNeu52yo_CT73,52.35917666,54.10807243,56.75139111,45.31469328,6.944502969,60.39624048
WBCminusNeu52yo_CT73_R1,54.17751353,54.24288272,55.82447256,44.32473106,6.951142002,60.17586288
WBCminusNeu52yo_CT76,51.61264157,53.20023128,55.23138956,44.02696737,6.959104618,59.96488013
WBCminusNeu52yo_CT76_R1,52.46844468,53.81490391,57.18376326,44.07181243,6.91985097,60.33506894
WBCminusNeu52yo_CT79,52.99190803,54.19898448,57.24069515,45.81379456,6.86363068,59.82760346
WBCminusNeu52yo_CT79_R1,54.08831532,55.33142273,58.40045471,45.73606445,6.855219782,60.15203984
WBCminusNeu52yo_CT85,53.55518596,55.74711258,58.44769347,46.67097547,6.779226116,60.0808426
WBCminusNeu52yo_CT85_R1,56.02317646,57.85153902,58.75722043,45.99573264,6.790004326,60.34085969